symbol,entry_time,entry_price,exit_reason,bars_held,gross_r,net_r,mfe_r,mae_r,reached_025r,reached_050r,reached_100r
ADANIENT,2024-05-09T14:37:00+05:30,2695.6,STOP_LOSS,8,-2.0,-2.18,1.2689915150570188,1.131390025472512,True,True,True
ADANIENT,2024-05-09T15:07:00+05:30,2683.6,STOP_LOSS,7,-2.0,-2.18,1.0082956612242067,1.5729412315097075,True,True,True
ADANIENT,2024-05-16T10:25:00+05:30,2908.1,TIME_HORIZON,40,9.106088057615086,8.926088057615086,7.30057059791551,0.0,True,True,True
ADANIENT,2024-07-05T09:21:00+05:30,3031.0,VWAP_Z_TARGET,18,5.248502238502244,5.068502238502244,2.9794990873593408,0.24065184936362863,True,True,True
ADANIENT,2024-07-08T09:38:00+05:30,3034.2,STOP_LOSS,4,-2.0,-2.18,0.3124655761156392,1.9529098507223008,True,False,False
ADANIENT,2024-07-08T10:36:00+05:30,3017.8,STOP_LOSS,17,-2.0,-2.18,2.174399258692909,1.790681742453172,True,True,True
ADANIENT,2024-07-08T11:12:00+05:30,2998.6,STOP_LOSS,5,-2.0,-2.18,0.9822150654032867,1.0087614185221476,True,True,False
ADANIENT,2024-07-08T11:44:00+05:30,2982.2,TIME_HORIZON,40,1.093115736004072,0.913115736004072,1.7437798645776932,0.26026565142949587,True,True,True
ADANIENT,2024-07-11T14:51:00+05:30,2990.4,STOP_LOSS,3,-2.0,-2.18,0.0,1.1345231286439381,False,False,False
ADANIENT,2024-07-19T10:40:00+05:30,2958.6,STOP_LOSS,1,-2.0,-2.18,0.5682113398767649,1.420528349691736,True,True,False
ADANIENT,2024-07-19T10:59:00+05:30,2941.0,STOP_LOSS,6,-2.0,-2.18,0.21419943597474336,1.2239967769984539,False,False,False
ADANIENT,2024-07-19T11:46:00+05:30,2930.8,TIME_HORIZON,40,4.2162797251540525,4.036279725154053,5.171969796188869,0.2810853150102702,True,True,True
ADANIENT,2024-07-19T14:55:00+05:30,2910.4,STOP_LOSS,36,-2.0,-2.18,1.6496297291870499,3.268425257828645,True,True,True
ADANIENT,2024-07-23T12:20:00+05:30,2873.2,STOP_LOSS,1,-2.0,-2.18,0.0,2.2655826497622935,False,False,False
ADANIENT,2024-07-30T09:18:00+05:30,2978.6,VWAP_Z_TARGET,28,5.373472007081178,5.193472007081178,2.713874751051075,0.7463155565390456,True,True,True
ADANIENT,2024-07-30T10:10:00+05:30,2978.4,TIME_HORIZON,40,6.768421993140538,6.588421993140538,3.9185601012919937,0.4325683228699623,True,True,True
ADANIENT,2024-08-05T09:16:00+05:30,3022.7,STOP_LOSS,4,-2.0,-2.18,0.6114383421834744,1.0074174590260896,True,True,False
ADANIENT,2024-08-12T09:16:00+05:30,2996.6,STOP_LOSS,1,-2.0,-2.18,0.1756338402139377,1.1662086990205398,False,False,False
ADANIENT,2024-08-13T14:09:00+05:30,3007.9,STOP_LOSS,39,-2.0,-2.18,2.281501399158949,2.367595791580062,True,True,True
ADANIENT,2024-08-14T09:16:00+05:30,2974.9,STOP_LOSS,1,-2.0,-2.18,0.24306534724248735,2.1127987875697904,False,False,False
ADANIENT,2024-08-20T11:31:00+05:30,2990.6,STOP_LOSS,8,-2.0,-2.18,1.0283298408330417,1.3106164638068414,True,True,True
ADANIENT,2024-08-22T14:29:00+05:30,3008.3,STOP_LOSS,3,-2.0,-2.18,0.940514654527288,1.5115414090618602,True,True,False
ADANIENT,2024-08-26T09:32:00+05:30,2967.1,TIME_HORIZON,40,3.9512693670596,3.7712693670596,3.5905012944150436,0.06871772812279128,True,True,True
ADANIENT,2024-08-28T09:20:00+05:30,2967.1,STOP_LOSS,4,-2.0,-2.18,0.08559980405529345,1.352476904073652,False,False,False
ADANIENT,2024-08-28T10:17:00+05:30,2949.4,STOP_LOSS,14,-2.0,-2.18,1.6004471859565965,1.4072897669618758,True,True,True
ADANIENT,2024-08-28T15:06:00+05:30,2932.7,TIME_HORIZON,40,4.426204023799736,4.246204023799736,4.078075617433446,0.9697862748773699,True,True,True
ADANIENT,2024-08-29T10:04:00+05:30,2923.7,STOP_LOSS,6,-2.0,-2.18,0.0263763753505702,1.186936890771341,False,False,False
ADANIENT,2024-08-29T11:57:00+05:30,2900.0,STOP_LOSS,7,-2.0,-2.18,0.5813183968072524,1.3079663928163179,True,True,False
ADANIENT,2024-08-29T14:05:00+05:30,2892.4,TIME_HORIZON,40,4.062385010252269,3.882385010252269,2.7408862719774802,0.5139161759957637,True,True,True
ADANIENT,2024-09-04T09:16:00+05:30,2923.0,STOP_LOSS,22,-2.0,-2.18,1.1268611731817781,1.176575636704457,True,True,True
ADANIENT,2024-09-04T14:26:00+05:30,2897.2,VWAP_Z_TARGET,11,2.972405904692358,2.792405904692358,1.5337614468212677,0.11295142437828798,True,True,True
ADANIENT,2024-09-06T09:54:00+05:30,2899.8,STOP_LOSS,3,-2.0,-2.18,0.30591506872616697,1.4396003234174104,True,False,False
ADANIENT,2024-09-09T09:21:00+05:30,2854.7,STOP_LOSS,7,-2.0,-2.18,0.9837670262566157,1.0930744736184435,True,True,False
ADANIENT,2024-09-11T13:44:00+05:30,2869.8,STOP_LOSS,17,-2.0,-2.18,1.2941515580325726,1.329128627168717,True,True,True
ADANIENT,2024-09-17T10:14:00+05:30,2879.1,STOP_LOSS,3,-2.0,-2.18,0.0,1.4577869616433563,False,False,False
ADANIENT,2024-09-18T13:06:00+05:30,2871.3,STOP_LOSS,29,-2.0,-2.18,1.4941356790733815,1.441709865772607,True,True,True
ADANIENT,2024-09-19T11:23:00+05:30,2828.9,STOP_LOSS,1,-2.0,-2.18,0.1009624997010004,1.262031246262218,False,False,False
ADANIENT,2024-10-14T15:16:00+05:30,3002.8,TIME_HORIZON,40,5.942331146118433,5.7623311461184334,5.658322672223025,0.9394126444231806,True,True,True
ADANIENT,2024-10-15T14:48:00+05:30,2997.9,VWAP_Z_TARGET,16,7.657510730237493,7.477510730237493,3.8287553651187465,0.08384135836031648,True,True,True
ADANIENT,2024-10-16T11:19:00+05:30,2990.0,STOP_LOSS,24,-2.0,-2.18,2.252169713694372,1.6448430493273336,True,True,True
ADANIENT,2024-10-16T12:36:00+05:30,2969.8,TIME_HORIZON,40,11.305772105661319,11.12577210566132,6.277332767968966,0.7230435648970421,True,True,True
ADANIENT,2024-10-17T09:41:00+05:30,2964.7,STOP_LOSS,3,-2.0,-2.18,0.07225486781811091,1.5715433750435222,False,False,False
ADANIENT,2024-10-18T09:17:00+05:30,2890.7,STOP_LOSS,2,-2.0,-2.18,0.1616561117451968,1.4225737833577123,False,False,False
ADANIENT,2024-10-21T09:35:00+05:30,2886.9,STOP_LOSS,8,-2.0,-2.18,0.3377051767485851,1.120567177393153,True,False,False
ADANIENT,2024-10-21T11:36:00+05:30,2850.5,STOP_LOSS,37,-2.0,-2.18,2.7990836616925763,1.3995418308462368,True,True,True
ADANIENT,2024-10-22T10:22:00+05:30,2813.1,STOP_LOSS,2,-2.0,-2.18,0.32627694423303066,1.2351912888820438,True,False,False
ADANIENT,2024-10-22T11:50:00+05:30,2792.0,STOP_LOSS,1,-2.0,-2.18,0.4905564022776392,1.9176295725400005,True,False,False
ADANIENT,2024-10-22T12:14:00+05:30,2778.6,STOP_LOSS,2,-2.0,-2.18,0.40186497537549143,1.0716399343344745,True,False,False
ADANIENT,2024-10-24T09:37:00+05:30,2730.5,STOP_LOSS,2,-2.0,-2.18,0.06782263734436118,1.1258557799164204,False,False,False
ADANIENT,2024-10-25T09:54:00+05:30,2680.1,STOP_LOSS,8,-2.0,-2.18,1.0870043029524803,1.1236448974339908,True,True,True
ADANIENT,2024-10-25T10:47:00+05:30,2634.7,STOP_LOSS,1,-2.0,-2.18,0.041933582432430096,1.271985333782929,False,False,False
ADANIENT,2024-11-04T10:16:00+05:30,2825.1,STOP_LOSS,12,-2.0,-2.18,1.105129296225923,1.554088072817682,True,True,True
ADANIENT,2024-11-04T11:02:00+05:30,2791.1,STOP_LOSS,1,-2.0,-2.18,0.10044572788047229,1.5066859182070844,False,False,False
ADANIENT,2024-11-08T09:17:00+05:30,2857.1,VWAP_Z_TARGET,9,5.651786785889071,5.471786785889071,2.886275730400615,0.5313645696135113,True,True,True
ADANIENT,2024-11-08T11:51:00+05:30,2856.7,STOP_LOSS,4,-2.0,-2.18,0.9548569256665256,2.506499429874426,True,True,False
ADANIENT,2024-11-11T09:16:00+05:30,2816.4,STOP_LOSS,1,-2.0,-2.18,0.17632972489333718,1.36361653917513,False,False,False
ADANIENT,2024-11-12T15:08:00+05:30,2786.0,STOP_LOSS,9,-2.0,-2.18,0.4812721094936414,1.203180273734203,True,False,False
ADANIENT,2024-11-13T09:46:00+05:30,2762.0,STOP_LOSS,2,-2.0,-2.18,0.4804835760126847,1.2252331188323242,True,False,False
ADANIENT,2024-11-18T09:46:00+05:30,2710.4,VWAP_Z_TARGET,7,8.075503229487795,7.895503229487796,4.1521818224492355,0.3759849681745655,True,True,True
ADANIENT,2024-11-21T09:16:00+05:30,2461.9,STOP_LOSS,37,-2.0,-2.18,0.0,2.144970014874925,False,False,False
ADANIENT,2024-11-25T15:10:00+05:30,2171.0,TIME_HORIZON,40,9.166878412914093,8.986878412914093,6.816060023355889,0.4202580361221111,True,True,True
ADANIENT,2024-11-29T11:12:00+05:30,2343.2,STOP_LOSS,2,-2.0,-2.18,0.04565499094971908,1.0196281312097468,False,False,False
ADANIENT,2024-11-29T11:39:00+05:30,2335.0,VWAP_Z_TARGET,35,15.265182031093875,15.085182031093876,7.632591015546938,0.27972846653838895,True,True,True
